Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Linoleic acid metabolism	1/29	2.496891e-01	9.070773e-01	0	0	3.603316e+00	4.999741e+00	PLA2G10
KEGG_2021_Human	beta-Alanine metabolism	1/30	2.570904e-01	9.070773e-01	0	0	3.478888e+00	4.725469e+00	GAD1
KEGG_2021_Human	Longevity regulating pathway	2/102	2.659694e-01	9.070773e-01	0	0	2.020821e+00	2.676322e+00	HSPA8;HSPA1L
KEGG_2021_Human	SNARE interactions in vesicular transport	1/33	2.788612e-01	9.070773e-01	0	0	3.152264e+00	4.025570e+00	SNAP23
KEGG_2021_Human	Prion disease	4/273	2.826596e-01	9.070773e-01	0	0	1.505018e+00	1.901608e+00	HSPA8;HSPA1L;SLC25A31;COX6A1
KEGG_2021_Human	Mucin type O-glycan biosynthesis	1/36	2.999972e-01	9.070773e-01	0	0	2.881633e+00	3.469434e+00	GALNTL5
KEGG_2021_Human	African trypanosomiasis	1/37	3.069047e-01	9.070773e-01	0	0	2.801446e+00	3.309118e+00	APOL1
KEGG_2021_Human	Thyroid cancer	1/37	3.069047e-01	9.070773e-01	0	0	2.801446e+00	3.309118e+00	TCF7
KEGG_2021_Human	Primary immunodeficiency	1/38	3.137443e-01	9.070773e-01	0	0	2.725593e+00	3.159445e+00	ADA
KEGG_2021_Human	Glycine, serine and threonine metabolism	1/40	3.272227e-01	9.070773e-01	0	0	2.585557e+00	2.888363e+00	BHMT
KEGG_2021_Human	Proteoglycans in cancer	3/205	3.285675e-01	9.070773e-01	0	0	1.500536e+00	1.670116e+00	SDC2;ESR1;TLR2
KEGG_2021_Human	MAPK signaling pathway	4/294	3.291468e-01	9.070773e-01	0	0	1.394533e+00	1.549677e+00	HSPA8;HSPA1L;MAPKAPK3;RASGRP4
KEGG_2021_Human	Type I diabetes mellitus	1/43	3.469481e-01	9.070773e-01	0	0	2.400510e+00	2.541132e+00	GAD1
KEGG_2021_Human	Fat digestion and absorption	1/43	3.469481e-01	9.070773e-01	0	0	2.400510e+00	2.541132e+00	PLA2G10
KEGG_2021_Human	Vasopressin-regulated water reabsorption	1/44	3.533945e-01	9.070773e-01	0	0	2.344566e+00	2.438747e+00	AQP3
KEGG_2021_Human	Lipid and atherosclerosis	3/215	3.554700e-01	9.070773e-01	0	0	1.429026e+00	1.478063e+00	HSPA8;HSPA1L;TLR2
KEGG_2021_Human	Basal transcription factors	1/45	3.597776e-01	9.070773e-01	0	0	2.291164e+00	2.342186e+00	TBPL1
KEGG_2021_Human	Other types of O-glycan biosynthesis	1/47	3.723564e-01	9.070773e-01	0	0	2.191327e+00	2.164820e+00	GALNTL5
KEGG_2021_Human	Ether lipid metabolism	1/49	3.846892e-01	9.070773e-01	0	0	2.099809e+00	2.005988e+00	PLA2G10
KEGG_2021_Human	Fluid shear stress and atherosclerosis	2/139	3.985435e-01	9.070773e-01	0	0	1.472281e+00	1.354408e+00	SDC2;MGST1
KEGG_2021_Human	Ubiquitin mediated proteolysis	2/140	4.019981e-01	9.070773e-01	0	0	1.461538e+00	1.331911e+00	HERC3;UBE2L6
KEGG_2021_Human	Endocrine and other factor-regulated calcium reabsorption	1/53	4.086361e-01	9.070773e-01	0	0	1.937892e+00	1.734279e+00	ESR1
KEGG_2021_Human	Spinocerebellar ataxia	2/143	4.123055e-01	9.070773e-01	0	0	1.430224e+00	1.267165e+00	TBPL1;SLC25A31
KEGG_2021_Human	Fanconi anemia pathway	1/54	4.144765e-01	9.070773e-01	0	0	1.901232e+00	1.674489e+00	FANCF
KEGG_2021_Human	Glutathione metabolism	1/57	4.316556e-01	9.070773e-01	0	0	1.799107e+00	1.511479e+00	MGST1
KEGG_2021_Human	Gastric cancer	2/149	4.326531e-01	9.070773e-01	0	0	1.371429e+00	1.149009e+00	FRAT1;TCF7
KEGG_2021_Human	Endometrial cancer	1/58	4.372698e-01	9.070773e-01	0	0	1.767454e+00	1.462047e+00	TCF7
KEGG_2021_Human	VEGF signaling pathway	1/59	4.428288e-01	9.070773e-01	0	0	1.736893e+00	1.414825e+00	MAPKAPK3
KEGG_2021_Human	Parkinson disease	3/249	4.452842e-01	9.070773e-01	0	0	1.229381e+00	9.946219e-01	UBE2L6;SLC25A31;COX6A1
KEGG_2021_Human	Arachidonic acid metabolism	1/61	4.537834e-01	9.070773e-01	0	0	1.678827e+00	1.326500e+00	PLA2G10
KEGG_2021_Human	Basal cell carcinoma	1/63	4.645237e-01	9.070773e-01	0	0	1.624506e+00	1.245578e+00	TCF7
KEGG_2021_Human	Acute myeloid leukemia	1/67	4.853780e-01	9.070773e-01	0	0	1.525742e+00	1.102848e+00	TCF7
KEGG_2021_Human	Long-term potentiation	1/67	4.853780e-01	9.070773e-01	0	0	1.525742e+00	1.102848e+00	PPP1R1A
KEGG_2021_Human	Alzheimer disease	4/369	4.940216e-01	9.070773e-01	0	0	1.103726e+00	7.783213e-01	BACE2;FRAT1;SLC25A31;COX6A1
KEGG_2021_Human	Prolactin signaling pathway	1/70	5.004866e-01	9.070773e-01	0	0	1.459184e+00	1.010010e+00	ESR1
KEGG_2021_Human	Protein processing in endoplasmic reticulum	2/171	5.038465e-01	9.070773e-01	0	0	1.191564e+00	8.167977e-01	HSPA8;HSPA1L
KEGG_2021_Human	Adherens junction	1/71	5.054241e-01	9.070773e-01	0	0	1.438265e+00	9.814110e-01	TCF7
KEGG_2021_Human	PPAR signaling pathway	1/74	5.199471e-01	9.070773e-01	0	0	1.378949e+00	9.018715e-01	PLIN4
KEGG_2021_Human	Metabolism of xenobiotics by cytochrome P450	1/76	5.293925e-01	9.070773e-01	0	0	1.342041e+00	8.535717e-01	MGST1
KEGG_2021_Human	Arrhythmogenic right ventricular cardiomyopathy	1/77	5.340457e-01	9.070773e-01	0	0	1.324315e+00	8.307084e-01	TCF7
KEGG_2021_Human	Leishmaniasis	1/77	5.340457e-01	9.070773e-01	0	0	1.324315e+00	8.307084e-01	TLR2
KEGG_2021_Human	Herpes simplex virus 1 infection	5/498	5.455650e-01	9.070773e-01	0	0	1.020009e+00	6.180576e-01	ZNF582;ZNF175;ZNF284;TLR2;SRSF9
KEGG_2021_Human	RNA transport	2/186	5.489854e-01	9.070773e-01	0	0	1.093590e+00	6.558077e-01	NUP210L;SMN2
KEGG_2021_Human	Neutrophil extracellular trap formation	2/189	5.576631e-01	9.070773e-01	0	0	1.075881e+00	6.283148e-01	SLC25A31;TLR2
KEGG_2021_Human	Colorectal cancer	1/86	5.739169e-01	9.070773e-01	0	0	1.183553e+00	6.571924e-01	TCF7
KEGG_2021_Human	Cardiac muscle contraction	1/87	5.781320e-01	9.070773e-01	0	0	1.169732e+00	6.409582e-01	COX6A1
KEGG_2021_Human	Huntington disease	3/306	5.828154e-01	9.070773e-01	0	0	9.952026e-01	5.372948e-01	TBPL1;SLC25A31;COX6A1
KEGG_2021_Human	GABAergic synapse	1/89	5.864380e-01	9.070773e-01	0	0	1.143031e+00	6.100224e-01	GAD1
KEGG_2021_Human	PD-L1 expression and PD-1 checkpoint pathway in cancer	1/89	5.864380e-01	9.070773e-01	0	0	1.143031e+00	6.100224e-01	TLR2
KEGG_2021_Human	Diabetic cardiomyopathy	2/203	5.965842e-01	9.070773e-01	0	0	1.000230e+00	5.166536e-01	SLC25A31;COX6A1
KEGG_2021_Human	Rheumatoid arthritis	1/93	6.025650e-01	9.070773e-01	0	0	1.093112e+00	5.537267e-01	TLR2
KEGG_2021_Human	Pathways in cancer	5/531	6.027273e-01	9.070773e-01	0	0	9.543825e-01	4.831948e-01	FRAT1;TCF7;MGST1;ESR1;RASGRP4
KEGG_2021_Human	TGF-beta signaling pathway	1/94	6.064980e-01	9.070773e-01	0	0	1.081303e+00	5.407100e-01	SMAD6
KEGG_2021_Human	Prostate cancer	1/97	6.180662e-01	9.070773e-01	0	0	1.047353e+00	5.039442e-01	TCF7
KEGG_2021_Human	Glycerophospholipid metabolism	1/98	6.218466e-01	9.070773e-01	0	0	1.036503e+00	4.924032e-01	PLA2G10
KEGG_2021_Human	Progesterone-mediated oocyte maturation	1/100	6.292960e-01	9.070773e-01	0	0	1.015461e+00	4.703143e-01	CDC25A
KEGG_2021_Human	Melanogenesis	1/101	6.329658e-01	9.070773e-01	0	0	1.005255e+00	4.597423e-01	TCF7
KEGG_2021_Human	Amoebiasis	1/102	6.365994e-01	9.070773e-01	0	0	9.952516e-01	4.494703e-01	TLR2
KEGG_2021_Human	Chagas disease	1/102	6.365994e-01	9.070773e-01	0	0	9.952516e-01	4.494703e-01	TLR2
KEGG_2021_Human	Pancreatic secretion	1/102	6.365994e-01	9.070773e-01	0	0	9.952516e-01	4.494703e-01	PLA2G10
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	2/219	6.378722e-01	9.070773e-01	0	0	9.257237e-01	4.162214e-01	TBPL1;SLC25A31
KEGG_2021_Human	Protein digestion and absorption	1/103	6.401972e-01	9.070773e-01	0	0	9.854442e-01	4.394874e-01	COL18A1
KEGG_2021_Human	Toll-like receptor signaling pathway	1/104	6.437596e-01	9.070773e-01	0	0	9.758272e-01	4.297835e-01	TLR2
KEGG_2021_Human	Th17 cell differentiation	1/107	6.542376e-01	9.070773e-01	0	0	9.480651e-01	4.022495e-01	IL21R
KEGG_2021_Human	Drug metabolism	1/108	6.576616e-01	9.070773e-01	0	0	9.391570e-01	3.935675e-01	MGST1
KEGG_2021_Human	Insulin resistance	1/108	6.576616e-01	9.070773e-01	0	0	9.391570e-01	3.935675e-01	PPP1R3B
KEGG_2021_Human	Thermogenesis	2/232	6.689327e-01	9.070773e-01	0	0	8.728205e-01	3.509366e-01	ACTL6A;COX6A1
KEGG_2021_Human	Ras signaling pathway	2/232	6.689327e-01	9.070773e-01	0	0	8.728205e-01	3.509366e-01	PLA2G10;RASGRP4
KEGG_2021_Human	Serotonergic synapse	1/113	6.742825e-01	9.070773e-01	0	0	8.970026e-01	3.535142e-01	HTR5A
KEGG_2021_Human	Calcium signaling pathway	2/240	6.869606e-01	9.070773e-01	0	0	8.431373e-01	3.165798e-01	SLC25A31;HTR5A
KEGG_2021_Human	Pathways of neurodegeneration	4/475	6.914687e-01	9.070773e-01	0	0	8.506650e-01	3.138422e-01	FRAT1;UBE2L6;SLC25A31;COX6A1
KEGG_2021_Human	Thyroid hormone signaling pathway	1/121	6.992216e-01	9.070773e-01	0	0	8.368622e-01	2.994190e-01	ESR1
KEGG_2021_Human	Salmonella infection	2/249	7.062756e-01	9.070773e-01	0	0	8.120419e-01	2.823873e-01	TCF7;TLR2
KEGG_2021_Human	Cell cycle	1/124	7.080757e-01	9.070773e-01	0	0	8.163265e-01	2.817994e-01	CDC25A
KEGG_2021_Human	Platelet activation	1/124	7.080757e-01	9.070773e-01	0	0	8.163265e-01	2.817994e-01	SNAP23
KEGG_2021_Human	Endocytosis	2/252	7.124908e-01	9.070773e-01	0	0	8.021744e-01	2.719277e-01	HSPA8;HSPA1L
KEGG_2021_Human	Osteoclast differentiation	1/127	7.166706e-01	9.070773e-01	0	0	7.967687e-01	2.654347e-01	OSCAR
KEGG_2021_Human	Purine metabolism	1/129	7.222601e-01	9.070773e-01	0	0	7.842395e-01	2.551680e-01	ADA
KEGG_2021_Human	Vascular smooth muscle contraction	1/133	7.331121e-01	9.070773e-01	0	0	7.603200e-01	2.360464e-01	PLA2G10
KEGG_2021_Human	Oxidative phosphorylation	1/133	7.331121e-01	9.070773e-01	0	0	7.603200e-01	2.360464e-01	COX6A1
KEGG_2021_Human	Insulin signaling pathway	1/137	7.435422e-01	9.070773e-01	0	0	7.378076e-01	2.186344e-01	PPP1R3B
KEGG_2021_Human	Apoptosis	1/142	7.560112e-01	9.070773e-01	0	0	7.114633e-01	1.989956e-01	ENDOG
KEGG_2021_Human	Signaling pathways regulating pluripotency of stem cells	1/143	7.584317e-01	9.070773e-01	0	0	7.064171e-01	1.953261e-01	TCF7
KEGG_2021_Human	Cell adhesion molecules	1/148	7.701803e-01	9.070773e-01	0	0	6.822157e-01	1.781474e-01	SDC2
KEGG_2021_Human	Adrenergic signaling in cardiomyocytes	1/150	7.747189e-01	9.070773e-01	0	0	6.729900e-01	1.717840e-01	PPP1R1A
KEGG_2021_Human	Phagosome	1/152	7.791684e-01	9.070773e-01	0	0	6.640086e-01	1.656888e-01	TLR2
KEGG_2021_Human	Cushing syndrome	1/155	7.856792e-01	9.070773e-01	0	0	6.509740e-01	1.570193e-01	TCF7
KEGG_2021_Human	Non-alcoholic fatty liver disease	1/155	7.856792e-01	9.070773e-01	0	0	6.509740e-01	1.570193e-01	COX6A1
KEGG_2021_Human	Necroptosis	1/159	7.940641e-01	9.070773e-01	0	0	6.343645e-01	1.462788e-01	SLC25A31
KEGG_2021_Human	Hepatitis B	1/162	8.001378e-01	9.070773e-01	0	0	6.224490e-01	1.387883e-01	TLR2
KEGG_2021_Human	JAK-STAT signaling pathway	1/162	8.001378e-01	9.070773e-01	0	0	6.224490e-01	1.387883e-01	IL21R
KEGG_2021_Human	Hippo signaling pathway	1/163	8.021225e-01	9.070773e-01	0	0	6.185752e-01	1.363921e-01	TCF7
KEGG_2021_Human	cGMP-PKG signaling pathway	1/167	8.098671e-01	9.070773e-01	0	0	6.035468e-01	1.272790e-01	SLC25A31
KEGG_2021_Human	Influenza A	1/172	8.191251e-01	9.070773e-01	0	0	5.857501e-01	1.168679e-01	SLC25A31
KEGG_2021_Human	Tuberculosis	1/180	8.330138e-01	9.070773e-01	0	0	5.593433e-01	1.021948e-01	TLR2
KEGG_2021_Human	Human papillomavirus infection	2/331	8.402464e-01	9.070773e-01	0	0	6.070922e-01	1.056705e-01	TCF7;TBPL1
KEGG_2021_Human	Neuroactive ligand-receptor interaction	2/341	8.521285e-01	9.070773e-01	0	0	5.888813e-01	9.423157e-02	CHRNA9;HTR5A
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	1/193	8.533552e-01	9.070773e-01	0	0	5.211256e-01	8.263982e-02	TCF7
KEGG_2021_Human	Pathogenic Escherichia coli infection	1/197	8.591032e-01	9.070773e-01	0	0	5.103863e-01	7.751046e-02	NLRP4
KEGG_2021_Human	Epstein-Barr virus infection	1/202	8.659739e-01	9.070773e-01	0	0	4.975632e-01	7.159960e-02	TLR2
KEGG_2021_Human	Viral carcinogenesis	1/203	8.673075e-01	9.070773e-01	0	0	4.950748e-01	7.047968e-02	TBPL1
KEGG_2021_Human	Amyotrophic lateral sclerosis	2/364	8.764706e-01	9.070773e-01	0	0	5.508146e-01	7.262607e-02	NUP210L;COX6A1
KEGG_2021_Human	Human immunodeficiency virus 1 infection	1/212	8.787312e-01	9.070773e-01	0	0	4.737402e-01	6.124336e-02	TLR2
KEGG_2021_Human	Coronavirus disease	1/232	9.007335e-01	9.223511e-01	0	0	4.322820e-01	4.519329e-02	TLR2
KEGG_2021_Human	Cytokine-cytokine receptor interaction	1/295	9.472350e-01	9.621361e-01	0	0	3.385569e-01	1.835250e-02	IL21R
KEGG_2021_Human	MicroRNAs in cancer	1/310	9.546194e-01	9.621361e-01	0	0	3.218744e-01	1.494865e-02	CDC25A
KEGG_2021_Human	PI3K-Akt signaling pathway	1/354	9.708579e-01	9.708579e-01	0	0	2.811181e-01	8.314121e-03	TLR2
